Frame_ID,Timestamp,Class,Confidence,x1,y1,x2,y2
62,2026-01-05 11:15:58,bus,0.5655940175056458,289,165,322,232
62,2026-01-05 11:15:58,car,0.5215561985969543,51,245,129,351
62,2026-01-05 11:15:58,car,0.5088616609573364,303,250,353,351
63,2026-01-05 11:15:58,car,0.7377750277519226,471,274,550,383
63,2026-01-05 11:15:58,car,0.7211751341819763,140,56,162,83
63,2026-01-05 11:15:58,bus,0.6354538202285767,290,166,322,234
63,2026-01-05 11:15:58,car,0.5627244710922241,172,94,195,123
63,2026-01-05 11:15:58,car,0.5134180188179016,302,251,353,353
64,2026-01-05 11:15:59,car,0.7370994687080383,467,279,547,390
64,2026-01-05 11:15:59,car,0.7286292314529419,141,57,162,83
64,2026-01-05 11:15:59,bus,0.6016711592674255,289,166,323,234
64,2026-01-05 11:15:59,car,0.5959739685058594,171,97,195,127
65,2026-01-05 11:15:59,car,0.7734261751174927,463,283,544,399
65,2026-01-05 11:15:59,car,0.7287212610244751,141,57,162,83
65,2026-01-05 11:15:59,car,0.70382159948349,171,99,195,130
65,2026-01-05 11:15:59,car,0.5416807532310486,302,253,353,357
66,2026-01-05 11:15:59,car,0.7624010443687439,460,289,540,407
66,2026-01-05 11:15:59,car,0.7281922698020935,141,57,162,84
66,2026-01-05 11:15:59,car,0.6706300377845764,169,100,194,133
67,2026-01-05 11:15:59,car,0.8002222180366516,456,294,537,416
67,2026-01-05 11:15:59,car,0.7260082960128784,141,57,162,84
67,2026-01-05 11:15:59,car,0.6598864197731018,168,103,194,136
67,2026-01-05 11:15:59,car,0.577528178691864,5,292,105,427
68,2026-01-05 11:15:59,car,0.7923555374145508,452,299,534,425
68,2026-01-05 11:15:59,car,0.7202946543693542,141,57,162,84
68,2026-01-05 11:15:59,car,0.6657816171646118,167,106,194,139
69,2026-01-05 11:15:59,car,0.7443745732307434,448,305,531,435
69,2026-01-05 11:15:59,car,0.7112221717834473,141,57,163,84
69,2026-01-05 11:15:59,car,0.678948700428009,166,109,193,142
70,2026-01-05 11:15:59,car,0.7752165198326111,444,311,528,444
70,2026-01-05 11:15:59,car,0.7352710366249084,140,57,163,84
70,2026-01-05 11:15:59,car,0.6268950700759888,166,111,192,146
70,2026-01-05 11:15:59,car,0.5945307016372681,0,327,86,477
70,2026-01-05 11:15:59,train,0.5006822347640991,289,171,323,239
71,2026-01-05 11:15:59,car,0.7760852575302124,440,318,524,454
71,2026-01-05 11:15:59,car,0.7192124128341675,141,57,163,84
71,2026-01-05 11:15:59,car,0.6010428667068481,0,341,79,479
71,2026-01-05 11:15:59,car,0.5955445170402527,165,112,192,149
